Source;Target;Type;id;label;timeset;weight
33;40;Directed;1668;;;59.0
33;41;Directed;1669;;;9.0
33;42;Directed;1670;;;62.0
33;43;Directed;1671;;;35.0
33;44;Directed;1672;;;56.0
33;45;Directed;1673;;;10.0
33;46;Directed;1674;;;28.0
33;47;Directed;1675;;;165.0
33;48;Directed;1676;;;36.0
33;49;Directed;1677;;;12.0
33;50;Directed;1678;;;411.0
33;51;Directed;1679;;;8.0
33;52;Directed;1680;;;15.0
34;1;Directed;1681;;;8.0
34;2;Directed;1682;;;60.0
34;3;Directed;1683;;;12.0
34;4;Directed;1684;;;26.0
34;5;Directed;1685;;;84.0
34;6;Directed;1686;;;6.0
34;7;Directed;1687;;;6.0
34;8;Directed;1688;;;85.0
34;9;Directed;1689;;;249.0
34;10;Directed;1690;;;81.0
34;11;Directed;1691;;;18.0
34;12;Directed;1692;;;6.0
34;13;Directed;1693;;;21.0
34;14;Directed;1694;;;25.0
34;15;Directed;1695;;;24.0
34;16;Directed;1696;;;5.0
34;17;Directed;1697;;;10.0
34;18;Directed;1698;;;520.0
34;19;Directed;1699;;;4.0
34;20;Directed;1700;;;39.0
34;21;Directed;1701;;;24.0
34;22;Directed;1702;;;14.0
34;23;Directed;1703;;;12.0
34;24;Directed;1704;;;23.0
34;25;Directed;1705;;;5.0
34;26;Directed;1706;;;9.0
34;27;Directed;1707;;;131.0
34;28;Directed;1708;;;15.0
34;29;Directed;1709;;;260.0
34;30;Directed;1710;;;483.0
34;31;Directed;1711;;;52.0
34;32;Directed;1712;;;32.0
34;33;Directed;1713;;;27.0
34;35;Directed;1714;;;12.0
34;36;Directed;1715;;;90.0
34;37;Directed;1716;;;952.0
34;38;Directed;1717;;;21.0
34;39;Directed;1718;;;13.0
34;40;Directed;1719;;;58.0
34;41;Directed;1720;;;7.0
34;42;Directed;1721;;;28.0
34;43;Directed;1722;;;1.0
34;44;Directed;1723;;;25.0
34;45;Directed;1724;;;4.0
34;46;Directed;1725;;;29.0
34;47;Directed;1726;;;59.0
34;48;Directed;1727;;;29.0
34;49;Directed;1728;;;27.0
34;50;Directed;1729;;;35.0
34;52;Directed;1730;;;5.0
35;1;Directed;1731;;;1.0
35;2;Directed;1732;;;48.0
35;3;Directed;1733;;;17.0
35;4;Directed;1734;;;37.0
35;5;Directed;1735;;;64.0
35;6;Directed;1736;;;9.0
35;7;Directed;1737;;;11.0
35;8;Directed;1738;;;34.0
